Profile_ID,GAM_file
AGRI_BUR_ALL,Agriculture
AGRI_ENT_ALL,Agriculture
AGRI_EXC_ALL,Agriculture
AGRI_GRZ_CAT,Agriculture
AGRI_GRZ_MLI,Agriculture
AGRI_GRZ_PIG,Agriculture
AGRI_GRZ_POU,Agriculture
AGRI_GRZ_SHP,Agriculture
AGRI_HOU_CAT,Agriculture
AGRI_HOU_MLI,Agriculture
AGRI_HOU_PIG,Agriculture
AGRI_HOU_POU,Agriculture
AGRI_HOU_SHP,Agriculture
AGRI_SPR_BIO,Agriculture
AGRI_SPR_CAT,Agriculture
AGRI_SPR_FER,Agriculture
AGRI_SPR_NMD,Agriculture
AGRI_SPR_OTH,Agriculture
AGRI_SPR_PIG,Agriculture
AGRI_SPR_POU,Agriculture
AGRI_STO_CAT,Agriculture
AGRI_STO_MLI,Agriculture
AGRI_STO_PIG,Agriculture
AGRI_STO_POU,Agriculture
AGRI_STO_SHP,Agriculture
AGRI_YRD_CAT,Agriculture
AVIA_GEN,Aviation
ENER_ANY,Energy
ENER_BIO,Energy
ENER_COA,Energy
ENER_COG,Energy
ENER_GAS,Energy
ENER_OTH,Energy
INDU_EXT_PAG,Industry
INDU_MAN_CAP,Industry
INDU_MAN_CHE,Industry
INDU_MAN_FAB,Industry
INDU_MAN_GEN,Industry
INDU_MAN_IRO,Industry
INDU_MAN_MET,Industry
INDU_MAN_PAP,Industry
INDU_MAN_PET,Industry
INDU_MIN_GEN,Industry
INDU_PRO_GEN,Industry
MISC_ANY,Miscellaneous
OFFR_OTH,Offroad
WAST_GEN,Waste
OFFS_GEN,Offshore
RAIL_GEN,Railways
ROAD_BUS_MOT,RoadTransport
ROAD_BUS_RUR,RoadTransport
ROAD_BUS_URB,RoadTransport
ROAD_CAT_ALL,RoadTransport
ROAD_CAT_MOT,RoadTransport
ROAD_CAT_RUR,RoadTransport
ROAD_CAT_URB,RoadTransport
ROAD_CYC_ALL,RoadTransport
ROAD_CYC_MOT,RoadTransport
ROAD_CYC_RUR,RoadTransport
ROAD_CYC_URB,RoadTransport
ROAD_HGV_MOT,RoadTransport
ROAD_HGV_RUR,RoadTransport
ROAD_HGV_URB,RoadTransport
ROAD_LGV_ALL,RoadTransport
ROAD_LGV_MOT,RoadTransport
ROAD_LGV_RUR,RoadTransport
ROAD_LGV_URB,RoadTransport
SHIP_CTP,Shipping
SHIP_FIS,Shipping
SHIP_MIL,Shipping
SHIP_MIS,Shipping
SHIP_REC,Shipping
SOLV_IND,Solvents
SOLV_OTH,Solvents
STAT_DOM_GEN,Domestic
STAT_PIC_GEN,Domestic
