Pollutant,Sector,hour,coeff
NOx,1,0,0.931240325333963
NOx,1,1,0.916079807139178
NOx,1,2,0.910410535092404
NOx,1,3,0.907648012621759
NOx,1,4,0.906281830569741
NOx,1,5,0.927563286818941
NOx,1,6,0.958245289545879
NOx,1,7,1.00719993634194
NOx,1,8,1.03582391178354
NOx,1,9,1.04642386878078
NOx,1,10,1.04673050092726
NOx,1,11,1.04509558398523
NOx,1,12,1.04408534243586
NOx,1,13,1.04351166633552
NOx,1,14,1.04392196721491
NOx,1,15,1.04744167423848
NOx,1,16,1.0550923621959
NOx,1,17,1.06547212367019
NOx,1,18,1.07045475161751
NOx,1,19,1.05700497311926
NOx,1,20,1.03984848590295
NOx,1,21,1.00058289739742
NOx,1,22,0.962600541597419
NOx,1,23,0.931240325333963
NOx,2,0,0.694904641813765
NOx,2,1,0.604678242212065
NOx,2,2,0.555113291044667
NOx,2,3,0.520123855185406
NOx,2,4,0.506467623393394
NOx,2,5,0.558872963207009
NOx,2,6,0.710773442140044
NOx,2,7,0.920564682435663
NOx,2,8,1.12091623617615
NOx,2,9,1.26609664698683
NOx,2,10,1.3438934918299
NOx,2,11,1.34923796422467
NOx,2,12,1.31089491690167
NOx,2,13,1.27365260240387
NOx,2,14,1.26438584826871
NOx,2,15,1.2721967037513
NOx,2,16,1.28179839760991
NOx,2,17,1.28217568853662
NOx,2,18,1.2650680458631
NOx,2,19,1.22115020567865
NOx,2,20,1.13790207333008
NOx,2,21,1.00401652507981
NOx,2,22,0.840211270112954
NOx,2,23,0.694904641813765
NOx,3,0,0.881045541366706
NOx,3,1,0.928627318834235
NOx,3,2,0.928627318834235
NOx,3,3,0.976209117428076
NOx,3,4,0.976209117428076
NOx,3,5,1.0237908948956
NOx,3,6,1.0237908948956
NOx,3,7,1.07137267236314
NOx,3,8,1.07137267236314
NOx,3,9,1.07137267236314
NOx,3,10,1.07137267236314
NOx,3,11,1.07137267236314
NOx,3,12,1.07137267236314
NOx,3,13,1.07137267236314
NOx,3,14,1.07137267236314
NOx,3,15,1.07137267236314
NOx,3,16,1.0237908948956
NOx,3,17,1.0237908948956
NOx,3,18,0.976209117428076
NOx,3,19,0.976209117428076
NOx,3,20,0.928627318834235
NOx,3,21,0.928627318834235
NOx,3,22,0.881045541366706
NOx,3,23,0.881045541366706
NOx,4,0,0.864864863135135
NOx,4,1,0.918918911081081
NOx,4,2,0.918918911081081
NOx,4,3,0.972972983027027
NOx,4,4,0.972972983027027
NOx,4,5,1.02702703097297
NOx,4,6,1.02702703097297
NOx,4,7,1.08108107891892
NOx,4,8,1.08108107891892
NOx,4,9,1.08108107891892
NOx,4,10,1.08108107891892
NOx,4,11,1.08108107891892
NOx,4,12,1.08108107891892
NOx,4,13,1.08108107891892
NOx,4,14,1.08108107891892
NOx,4,15,1.08108107891892
NOx,4,16,1.02702703097297
NOx,4,17,1.02702703097297
NOx,4,18,0.972972983027027
NOx,4,19,0.972972983027027
NOx,4,20,0.918918911081081
NOx,4,21,0.918918911081081
NOx,4,22,0.864864863135135
NOx,4,23,0.864864863135135
NOx,5,0,0.939957797577733
NOx,5,1,0.955481635222499
NOx,5,2,0.955481635222499
NOx,5,3,0.971005479759848
NOx,5,4,0.971005479759848
NOx,5,5,1.00472869910331
NOx,5,6,1.00472869910331
NOx,5,7,1.03845190133936
NOx,5,8,1.03845190133936
NOx,5,9,1.03845190133936
NOx,5,10,1.03845190133936
NOx,5,11,1.03845190133936
NOx,5,12,1.03845190133936
NOx,5,13,1.03845190133936
NOx,5,14,1.03845190133936
NOx,5,15,1.03845190133936
NOx,5,16,1.02292806369459
NOx,5,17,1.02292806369459
NOx,5,18,1.00740422604983
NOx,5,19,0.989204861458545
NOx,5,20,0.973681016921195
NOx,5,21,0.955481635222499
NOx,5,22,0.939957797577733
NOx,5,23,0.939957797577733
NOx,6,0,0.589285708607142
NOx,6,1,0.466071422646429
NOx,6,2,0.342857136685714
NOx,6,3,0.260714294235715
NOx,6,4,0.260714294235715
NOx,6,5,0.342857136685714
NOx,6,6,0.794642857589285
NOx,6,7,1.20535713841071
NOx,6,8,1.32857142437143
NOx,6,9,1.41071428739286
NOx,6,10,1.41071428739286
NOx,6,11,1.41071428739286
NOx,6,12,1.41071428739286
NOx,6,13,1.41071428739286
NOx,6,14,1.41071428739286
NOx,6,15,1.41071428739286
NOx,6,16,1.41071428739286
NOx,6,17,1.32857142437143
NOx,6,18,1.20535713841071
NOx,6,19,1.08214285245
NOx,6,20,1.00000001
NOx,6,21,0.917857143549999
NOx,6,22,0.83571428052857
NOx,6,23,0.753571438078572
NOx,7,0,0.172404427037001
NOx,7,1,0.118626307614145
NOx,7,2,0.0975004744819033
NOx,7,3,0.104249308806796
NOx,7,4,0.152719877600298
NOx,7,5,0.345192487455458
NOx,7,6,0.787742781189079
NOx,7,7,1.39952066525827
NOx,7,8,1.60682354790864
NOx,7,9,1.45115424635332
NOx,7,10,1.49630822781382
NOx,7,11,1.58912961820906
NOx,7,12,1.63793777380892
NOx,7,13,1.62354474504174
NOx,7,14,1.66476909393214
NOx,7,15,1.78643314294196
NOx,7,16,1.87548096966791
NOx,7,17,1.79295013958467
NOx,7,18,1.40982804416882
NOx,7,19,1.0135274673268
NOx,7,20,0.714121753458728
NOx,7,21,0.523824794891955
NOx,7,22,0.384317516800815
NOx,7,23,0.251892588647781
NOx,8,0,0.738873098502873
NOx,8,1,0.69336342701959
NOx,8,2,0.641264301417606
NOx,8,3,0.632811630257698
NOx,8,4,0.693135206009588
NOx,8,5,0.840277899116838
NOx,8,6,1.04909492738598
NOx,8,7,1.17752892883928
NOx,8,8,1.24811051549742
NOx,8,9,1.24424031765306
NOx,8,10,1.20434306755797
NOx,8,11,1.16882056732827
NOx,8,12,1.15618583990121
NOx,8,13,1.17443266513311
NOx,8,14,1.21832326145945
NOx,8,15,1.25500809744886
NOx,8,16,1.25062902633017
NOx,8,17,1.20002066325142
NOx,8,18,1.11653323881964
NOx,8,19,1.01770776757289
NOx,8,20,0.890778057962162
NOx,8,21,0.820816006888439
NOx,8,22,0.799600314113979
NOx,8,23,0.768101174532516
NOx,9,0,0.984241947559021
NOx,9,1,0.984241947559021
NOx,9,2,0.984241947559021
NOx,9,3,0.984241947559021
NOx,9,4,0.984241947559021
NOx,9,5,0.997748855092641
NOx,9,6,0.997748855092641
NOx,9,7,1.01125574992977
NOx,9,8,1.01125574992977
NOx,9,9,1.01125574992977
NOx,9,10,1.01125574992977
NOx,9,11,1.01125574992977
NOx,9,12,1.01125574992977
NOx,9,13,1.01125574992977
NOx,9,14,1.01125574992977
NOx,9,15,1.01125574992977
NOx,9,16,1.01125574992977
NOx,9,17,1.01125574992977
NOx,9,18,1.01125574992977
NOx,9,19,0.997748855092641
NOx,9,20,0.997748855092641
NOx,9,21,0.984241947559021
NOx,9,22,0.984241947559021
NOx,9,23,0.984241947559021
NOx,10,0,0.668210020764991
NOx,10,1,0.668210020764991
NOx,10,2,0.668210020764991
NOx,10,3,0.668210020764991
NOx,10,4,0.668210020764991
NOx,10,5,0.709045719132378
NOx,10,6,0.790717102152865
NOx,10,7,0.913224166397878
NOx,10,8,1.07656691529599
NOx,10,9,1.28074536256149
NOx,10,10,1.3624167421534
NOx,10,11,1.48492380982699
NOx,10,12,1.6482665587251
NOx,10,13,1.60743087407201
NOx,10,14,1.5665951894189
NOx,10,15,1.44408812860246
NOx,10,16,1.28074536256149
NOx,10,17,1.07656691529599
NOx,10,18,0.913224166397878
NOx,10,19,0.790717102152865
NOx,10,20,0.709045719132378
NOx,10,21,0.668210020764991
NOx,10,22,0.668210020764991
NOx,10,23,0.668210020764991
NOx,11,0,0.836413262833976
NOx,11,1,0.836413262833976
NOx,11,2,0.836413262833976
NOx,11,3,0.836413262833976
NOx,11,4,0.836413262833976
NOx,11,5,0.85654701934832
NOx,11,6,0.896814525615273
NOx,11,7,0.957215779944402
NOx,11,8,1.03775078402614
NOx,11,9,1.13841954462222
NOx,11,10,1.17868704919874
NOx,11,11,1.2390883052183
NOx,11,12,1.31962330930004
NOx,11,13,1.29948955954744
NOx,11,14,1.27935580979482
NOx,11,15,1.21895455715613
NOx,11,16,1.13841954462222
NOx,11,17,1.03775078402614
NOx,11,18,0.957215779944402
NOx,11,19,0.896814525615273
NOx,11,20,0.85654701934832
NOx,11,21,0.836413262833976
NOx,11,22,0.836413262833976
NOx,11,23,0.836413262833976
