Pollutant,Sector,wday,coeff
NOx,1,1,1.02334880746098
NOx,1,2,1.03110468843069
NOx,1,3,1.024641061163
NOx,1,4,1.02450061000004
NOx,1,5,1.00491640725167
NOx,1,6,0.955755616681756
NOx,1,7,0.935732809011866
NOx,2,1,0.995616432485815
NOx,2,2,0.999447559267565
NOx,2,3,0.998612923268411
NOx,2,4,0.998592597899272
NOx,2,5,1.00244217570013
NOx,2,6,1.0046710319289
NOx,2,7,1.00061727944991
NOx,3,1,1.06117770864213
NOx,3,2,1.06936592634988
NOx,3,3,1.07264121589771
NOx,3,4,1.06465770070579
NOx,3,5,1.06752357906014
NOx,3,6,0.831088704172661
NOx,3,7,0.833545165171695
NOx,4,1,1.069499354
NOx,4,2,1.078801367
NOx,4,3,1.082522175
NOx,4,4,1.073452709
NOx,4,5,1.076708416
NOx,4,6,0.80811269
NOx,4,7,0.810903289
NOx,5,1,1.01995959098181
NOx,5,2,1.02263104566594
NOx,5,3,1.02369962834373
NOx,5,4,1.02109495907179
NOx,5,5,1.02202996891485
NOx,5,6,0.944891686011942
NOx,5,7,0.945693121009946
NOx,6,1,1
NOx,6,2,1
NOx,6,3,1
NOx,6,4,1
NOx,6,5,1
NOx,6,6,1
NOx,6,7,1
NOx,7,1,1.04963299318244
NOx,7,2,1.07144187178644
NOx,7,3,1.087590300978
NOx,7,4,1.1043746862849
NOx,7,5,1.12528781509117
NOx,7,6,0.839981024858375
NOx,7,7,0.721691307818675
NOx,8,1,0.978757933368765
NOx,8,2,1.01492670746473
NOx,8,3,1.02512223504425
NOx,8,4,1.02016332249713
NOx,8,5,1.01867388537689
NOx,8,6,0.989216616589684
NOx,8,7,0.953139299658547
NOx,9,1,1
NOx,9,2,1
NOx,9,3,1
NOx,9,4,1
NOx,9,5,1
NOx,9,6,1
NOx,9,7,1
NOx,10,1,1.0007979789992
NOx,10,2,0.991255488008744
NOx,10,3,0.991255488008744
NOx,10,4,1.0007979789992
NOx,10,5,1.01127144198873
NOx,10,6,0.994281154005719
NOx,10,7,1.01034046998966
NOx,11,1,1.0003934379848
NOx,11,2,0.9956885792993
NOx,11,3,0.9956885792993
NOx,11,4,1.0003934379848
NOx,11,5,1.00555730592691
NOx,11,6,0.997180362834597
NOx,11,7,1.0050982966703
