Sector,hod,coeff
10,0,0.0278863919504565
10,1,0.0278863919504565
10,2,0.0278863919504565
10,3,0.0278863919504565
10,4,0.0278863919504565
10,5,0.0295824261153529
10,6,0.0329744938858598
10,7,0.0380625951102287
10,8,0.0448467299402078
10,9,0.0533268989350835
10,10,0.0567189665586859
10,11,0.0618070679299594
10,12,0.0685912027550946
10,13,0.066895169154328
10,14,0.0651991355535616
10,15,0.0601110344712535
10,16,0.0533268989350835
10,17,0.0448467299402078
10,18,0.0380625951102287
10,19,0.0329744938858598
10,20,0.0295824261153529
10,21,0.0278863919504565
10,22,0.0278863919504565
10,23,0.0278863919504565
